URL,ページタイプ,表示回数(直近約3ヶ月),Thin Content判定,推奨対応
https://akagiconsulting.com/blog/case-interview/2455/,記事,0,Maybe,インデックス未登録の可能性。URL検査・内容改善
https://akagiconsulting.com/blog/case-interview/2461/,記事,0,Maybe,インデックス未登録の可能性。URL検査・内容改善
https://akagiconsulting.com/blog/case-interview/2492/,記事,0,Maybe,インデックス未登録の可能性。URL検査・内容改善
https://akagiconsulting.com/blog/category/behavior/,"カテゴリ（ビヘイビア対策, 2件）",0,Maybe,noindex検討 or meta description改善
https://akagiconsulting.com/blog/category/information/,"カテゴリ（企業研究, 52件）",0,Maybe,noindex検討 or meta description改善
https://akagiconsulting.com/blog/category/news/,"カテゴリ（お知らせ, 1件）",0,Yes,noindex推奨（記事数が少ない）
https://akagiconsulting.com/blog/category/uncategorized/,"カテゴリ（その他, 0件）",0,Yes,noindex or 削除（記事なし）
https://akagiconsulting.com/blog/fermi-estimate/909/,記事,0,Maybe,インデックス未登録の可能性。URL検査・内容改善
https://akagiconsulting.com/blog/information/2048/,記事,0,Maybe,インデックス未登録の可能性。URL検査・内容改善
https://akagiconsulting.com/blog/information/2090/,記事,0,Maybe,インデックス未登録の可能性。URL検査・内容改善
https://akagiconsulting.com/blog/information/2094/,記事,0,Maybe,インデックス未登録の可能性。URL検査・内容改善
https://akagiconsulting.com/blog/information/2309/,記事,0,Maybe,インデックス未登録の可能性。URL検査・内容改善
https://akagiconsulting.com/blog/tag/itコン/,"タグ（ITコン, 20件）",0,Maybe,noindex検討（表示ゼロ）
https://akagiconsulting.com/blog/tag/kearney/,"タグ（KEARNEY, 4件）",0,Maybe,noindex検討（記事数少 & 表示ゼロ）
https://akagiconsulting.com/blog/tag/mbb/,"タグ（MBB, 29件）",0,Maybe,noindex検討（表示ゼロ）
https://akagiconsulting.com/blog/tag/peディレクションズ/,"タグ（P&Eディレクションズ, 1件）",0,Yes,noindex推奨 or 削除（記事数が少ない）
https://akagiconsulting.com/blog/tag/webテスト/,"タグ（Webテスト, 1件）",0,Yes,noindex推奨 or 削除（記事数が少ない）
